,,,,,,,,,,,,,,,,,
,Advisory Input Fields,Location (district_name),MVP PILOT LOCATION 01: SEHORE DISTRICT (MADHYA PRADESH)                           ,,,,,,,,MVP PILOT LOCATION 02: AMRAVATI DISTRICT (MAHARASHTRA),,,,,,
,,Crop (code_name_type),SV1 SOYBEAN Rainfed,,,,,,,,CV1 Cotton Rainfed,,,,,,
,,Indicative Month of Sowing,June,,,,,,,,June,,,,,,
,,Date of Sowing (DOS),(dd/mm/yyyy),,,,,,,,(dd/mm/yyyy),,,,,,
,,"Days After Sowing (DAS)
(t-n < t0 < t+n)",Critical Stage,Phase,No Rainfall (t+x),Light Rainfall (t+x),Moderate Rainfall (t+x),Heavy Rainfall (t+x),Active Advisory ,Risk Level,Critical Stage,No Rainfall (t+x),Light Rainfall (t+x),Moderate Rainfall (t+x),Heavy Rainfall (t+x),Active Advisory ,Risk Level
,Advisory Matrix ,t-n ,"Pre Sowing, Field Prep stage (June)",Transition,"Action: Perform deep summer plowing to kill soil-borne pests. 

Preparation: Check soil moisture before planning sowing.
",Action: Proceed with land conditioning and harrowing to prepare a fine seedbed.,Action: Ideal for final field prep. Ensure drainage channels are clear of debris.,Action: Delay land/soil preparation to avoid it becoming too sticky. Clear stagnant water.,TRUE,Moderate,Pre Sowing (Pre Monsoon),Deep summer plowing to sanitize soil and kill pests.,Prepare for sowing; track Mrug Nakshatra showers for soil conditioning,"Delay harrowing, soil will be sticky to work","Stop/Delay soil preparation, high risk of soil structure damage",FALSE,Moderate
,,t=0 ,Sowing Day (Onset) - between June 15 - July 7,Active ,Action: Delay Sowing (seed will bake in hot/dry soil) as it can be detrimental to the seed. Wait for 75-100mm rain.,"Action: Sow only if soil moisture reaches 3-4 inches deep. 

Preparation: Ensure seed treatment is done.",Action: Perfect onset. Sow now for uniform germination across the whole block. (Check for mud trap risk).,"Action: Stop Sowing due to high risk of poor aeration. Heavy rain will cause ""Mud Trap."" The seed will rot before it can breathe.",TRUE,Critical,Sowing Day (Onset),Delay sowing as seedling might burn; until 75-100mm cumulative rain is reached.,"Risk of poor stands; check ""Monsoon Continuity and if 75-100mm threshold met""",Ideal for establishment if reaching 75-100mm threshold.,Stop sowing: High risk of soil compaction,TRUE,Critical
,,t+1 ,Germination Onset,Transition,Observe: Heat may bake top layer. High risk of seedling mortality if moisture drops.,Observe: Light rain cools the soil. Monitor for steady sprout emergence.,Observe: Monitor emergence. Ideal moisture for uniform stand.,"Alert: Severe Crusting (Papdi). Seedlings trapped under soil, black soil might lock, prepare to break if required.",TRUE,Critical,Growth/Germination,"Action: Monitor for ""Seedling Burn"" if soil heat is high.","Action: Monitor for ""Seedling Burn"" if soil heat is high.",Action: Risk: Soil crusting. Monitor for emergence.,"Action: Severe Risk: Seedling Rot or ""Mud Trap"" asphyxiation.",TRUE,Critical
,,t+1 to t+10,Growth & Germinantion,Active ,"Warning: Soil is drying. If sprouts don't appear by Day 7, prepare for a light sprinkler spray.","Observe: Watch the soil surface to check whether heat baked the top layer or soil, and if the light rain can cool the soil  sprouts.","Preparation: Weeds (like Sanwa) will emerge soon. Get your ""Dora"" (inter-culture tool) or herbicides ready.

Check for risk of crusting.","Alert: Severe Crusting (Papdi). Seedlings trapped under soil, black soil might lock, prepare to break if required.",-,Critical,Growth/Germination,-,-,-,-,-,Critical
,,t+11 ,Prep for Branching,Transition,"Warning: ""Hardening of crop"" phase. Let the roots go deep into the Black soil. Do not irrigate yet.; string to be returned if in window t+1 to t-10; string to be returned if in window t+10 to t+ 20",Preparation: Plan for hoeing to conserve the limited moisture available in soil.,Prepare: Growth is steady. Complete weeding before crop branches out.,Alert: High root rot risk. Standing water for 48 hours is fatal. Check drains.,,Moderate,,,,,,,
,,t+10 to t+20,Early Vegetative/Branching (t+15 onwards),Active ,"Action: ""Hardening of crop"" phase. Hardening phase. Use  intercultural tools ""Dora"" to break capillaries and save deep moisture.; string to be returned if in window t+1 to t-10; string to be returned if in window t+10 to t+ 20","Status: Growth is steady/ideal. Use ""Dora"" to save moisture and manage early weeds.",Observe: Ideal for steady growth. Check and manage for weed/pest issues,Urgent Action: Waterlogging risk is high. Soybean cannot stand in water for 48 hours. Drain immediately.,TRUE,Moderate,Seeding/Early Vegetative (t+15 onwards),Pest Monitoring for thrips/aphids; growth slows.,Ideal for root development,Manage drainage to prevent Seedling Rot ,Risk due to stagnant water causing yellowing/root rot,TRUE,Critical
,,t+20 to t+30,Early Vegetative/Branching,Active ,"Action: ""Hardening of crop"" phase. Hardening phase. Use  intercultural tools ""Dora"" to break capillaries and save deep moisture.; string to be returned if in window t+1 to t-10; string to be returned if in window t+10 to t+ 20","Status: Growth is steady/ideal. Use ""Dora"" to save moisture and manage early weeds.",Observe: Ideal for steady growth. Check and manage for weed/pest issues,Urgent Action: Waterlogging risk is high. Soybean cannot stand in water for 48 hours. Drain immediately.,-,Moderate,-,-,-,-,-,-,-
,,t+31,Prep for Flowering,Transition,Warning: Drought stress risk next week might cause flower drop. Prepare pumps for 1st Irrigation.,Prepare: Monitor pest outbreaks. ,Prepare: Humidity rising. Buy Girdle Beetle sprays before canopy closes.,Alert: Flowering starts next week. Perfect drainage is required to save yield.,FALSE,Critical,,,,,,,
,,t+30 to t+40,Flowering (t+35 onwards),Active ,"Action: Only if required, apply Urea post-rain. Moisture needed to absorb branching nutrients.","Action: Only if required, apply Urea top-dressing while soil is damp for better uptake.","Action: Only if required, apply Urea after rainfall. Ideal window for maximum nutrient uptake.",Warning: High Leaching Risk. Postpone chemicals. Manage runoff to save nutrients.,TRUE,Critical,-,-,-,-,-,-,-
